Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
ETH,2023,2023-01-01,2023-12-31,365,const,-0.06084272617145949,0.05089539614818388,-1.1954465585514569,0.23270608254802003,-0.1609352003950335,0.03924974805211453,Negative,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,ETH_Lagged_Return,-0.06394912901727963,0.06022010975078182,-1.0619231562667386,0.28898840413401045,-0.1823798759834964,0.05448161794893713,Negative,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_Log_ETH_Volume,0.00277551892966969,0.0022565464510894083,1.2299852849604465,0.21951253048037142,-0.0016622757351434972,0.007213313594482877,Positive,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_SP500_Return_Aligned,-0.3193575766512866,0.19712736570192818,-1.6200570403511603,0.10610297535490028,-0.7070344052751143,0.06831925197254102,Negative,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_VIX_Change_Aligned,-0.0005142544453174836,0.001828358614831666,-0.2812656341845881,0.7786696164855965,-0.004109961550016349,0.003081452659381382,Negative,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_Gold_Return_Aligned,0.1995969466717219,0.189118218193946,1.0554083502787113,0.2919523160550716,-0.17232884254253988,0.5715227358859837,Positive,,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_DXY_Return_Aligned,-0.6697134785293527,0.3414278326411994,-1.9615081563463017,0.05059657440992674,-1.3411761082404972,0.0017491511817917527,Negative,*,False,0.05408402997324924,0.0355366580119405,7
ETH,2023,2023-01-01,2023-12-31,365,Lagged_US10Y_Change_Aligned,-0.021293182554328566,0.021438174242345363,-0.9932367520490432,0.3212673121275675,-0.0634541649839547,0.020867799875297566,Negative,,False,0.05408402997324924,0.0355366580119405,7
ETH,2024,2024-01-01,2024-12-31,366,const,-0.05732654845077405,0.08065145509362329,-0.7107937282002811,0.47767487593464125,-0.21593670970100098,0.10128361279945287,Negative,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,ETH_Lagged_Return,0.021442434139763277,0.051634528326085234,0.415273167682463,0.6781907144920567,-0.0801026756709996,0.12298754395052616,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_Log_ETH_Volume,0.002456334074685859,0.003423277109958933,0.717538778131615,0.4735096470435913,-0.004275925545236694,0.009188593694608413,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_SP500_Return_Aligned,0.16767887289585212,0.38181231406275146,0.4391657018906253,0.6608064216261214,-0.5831980037893326,0.9185557495810369,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_VIX_Change_Aligned,-0.00067748416081145,0.001960025443996378,-0.34565069697773876,0.729808260494551,-0.004532094736230478,0.0031771264146075776,Negative,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_Gold_Return_Aligned,0.1184523229228473,0.19985749534608377,0.5926839156956761,0.5537668868412011,-0.2745899294098715,0.5114945752555661,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_DXY_Return_Aligned,0.6268338204420054,0.5575630076658805,1.1242385377504016,0.26166509147741646,-0.46967657047887634,1.7233442113628872,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2024,2024-01-01,2024-12-31,366,Lagged_US10Y_Change_Aligned,0.025574029956520125,0.042169487665229786,0.6064581613972703,0.5445949221650171,-0.05735701239922256,0.1085050723122628,Positive,,False,0.01675601209989719,-0.0024694290042948097,7
ETH,2025,2025-01-01,2025-12-31,365,const,-0.03665920362232825,0.09815814350326309,-0.37347083302476664,0.7090197245248518,-0.22970007159845512,0.15638166435379863,Negative,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,ETH_Lagged_Return,-0.041699747461800586,0.07597593847316372,-0.5488546545105172,0.5834482954038812,-0.1911163988440955,0.10771690392049435,Negative,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_Log_ETH_Volume,0.0015130580157203801,0.004136110806686744,0.36581660560791995,0.7147185942242344,-0.0066211465614241,0.009647262592864862,Positive,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_SP500_Return_Aligned,-0.3633488954505361,0.32471936497840326,-1.1189628172459074,0.2639083220388682,-1.00195213127889,0.27525434037781765,Negative,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_VIX_Change_Aligned,-0.0009762248566290495,0.0019053094680629768,-0.5123707581328106,0.6087083914062901,-0.004723265910495178,0.0027708161972370797,Negative,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_Gold_Return_Aligned,0.0964092345342874,0.16592243891001524,0.581050008471567,0.5615733907224573,-0.22989901133061585,0.42271748039919066,Positive,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_DXY_Return_Aligned,-0.1116257035832885,0.6736663663902975,-0.16569879268488916,0.8684877906123045,-1.4364790010581276,1.2132275938915504,Negative,,False,0.010946683694439963,-0.008446518586061158,7
ETH,2025,2025-01-01,2025-12-31,365,Lagged_US10Y_Change_Aligned,0.05489382878049596,0.04021688743861013,1.3649447353251727,0.17313001374977652,-0.024197956998739063,0.133985614559731,Positive,,False,0.010946683694439963,-0.008446518586061158,7
