Asset,Window_Start,Window_End,N,R_Squared,Adjusted_R_Squared,HAC_Maxlags
ETH,2022-10-12,2023-10-11,365,0.020527795233654444,0.0013224578852948365,7
ETH,2022-10-19,2023-10-18,365,0.02090676375420386,0.0017088571611491021,7
ETH,2022-10-26,2023-10-25,365,0.030691259571492213,0.011685205837600021,7
ETH,2022-11-02,2023-11-01,365,0.03338867058718098,0.014435507265361025,7
ETH,2022-11-09,2023-11-08,365,0.02830506258298382,0.009252220672846367,7
ETH,2022-11-16,2023-11-15,365,0.043522170607198096,0.024767703364202087,7
ETH,2022-11-23,2023-11-22,365,0.04610924440463515,0.02740550409884379,7
ETH,2022-11-30,2023-11-29,365,0.04325737286630682,0.024497713510744257,7
ETH,2022-12-07,2023-12-06,365,0.04467738004413724,0.025945563966571328,7
ETH,2022-12-14,2023-12-13,365,0.051510207872227154,0.03291236881089832,7
ETH,2022-12-21,2023-12-20,365,0.05417812560828661,0.03563259865942958,7
ETH,2022-12-28,2023-12-27,365,0.05441857134663741,0.03587775902010093,7
ETH,2023-01-04,2024-01-03,365,0.055404797683418994,0.03688332312819198,7
ETH,2023-01-11,2024-01-10,365,0.05561974766490041,0.03710248781519265,7
ETH,2023-01-18,2024-01-17,365,0.06054527117122677,0.042124590213799884,7
ETH,2023-01-25,2024-01-24,365,0.05401297906023672,0.03546421394377086,7
ETH,2023-02-01,2024-01-31,365,0.050032234146784815,0.0314054152084865,7
ETH,2023-02-08,2024-02-07,365,0.05046185022311667,0.0318434551294523,7
ETH,2023-02-15,2024-02-14,365,0.055952294850053264,0.03744155553338768,7
ETH,2023-02-22,2024-02-21,365,0.05889221574090775,0.04043912193190602,7
ETH,2023-03-01,2024-02-28,365,0.06671700922584278,0.04841734274007503,7
ETH,2023-03-08,2024-03-06,365,0.07725138594680014,0.059158275867325694,7
ETH,2023-03-15,2024-03-13,365,0.06487633250601299,0.046540574319856476,7
ETH,2023-03-22,2024-03-20,365,0.053773855108069535,0.03522040128665915,7
ETH,2023-03-29,2024-03-27,365,0.04152303907728472,0.02272937317683943,7
ETH,2023-04-05,2024-04-03,365,0.03858526361429104,0.01973399427339484,7
ETH,2023-04-12,2024-04-10,365,0.03318821456890275,0.014231120736920566,7
ETH,2023-04-19,2024-04-17,365,0.023671855276256704,0.004528166164026515,7
ETH,2023-04-26,2024-04-24,365,0.03214830969060045,0.013170825566886757,7
ETH,2023-05-03,2024-05-01,365,0.028070239530555763,0.009012793246841233,7
ETH,2023-05-10,2024-05-08,365,0.02460525700384686,0.005479869886275246,7
ETH,2023-05-17,2024-05-15,365,0.027140072762897982,0.00806438791511177,7
ETH,2023-05-24,2024-05-22,365,0.02235628409017376,0.0031867994644909636,7
ETH,2023-05-31,2024-05-29,365,0.024916015553768656,0.005796721741097466,7
ETH,2023-06-07,2024-06-05,365,0.022478850070296374,0.00331176869912575,7
ETH,2023-06-14,2024-06-12,365,0.02291706884624578,0.0037585800000937697,7
