Asset,Window_Start,Window_End,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2023-08-02,2024-07-31,365,const,0.017179148716251556,0.049051897879184576,0.35022393544412916,0.7263771839491495,-0.07928784428631422,0.11364614171881735,Positive,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,BTC_Lagged_Return,-0.039164086709181346,0.0653155881794809,-0.5996131674044217,0.5491444286265145,-0.16761576055445018,0.0892875871360875,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_Log_BTC_Volume,-0.0006120555639029341,0.0020721120821161274,-0.29537763385746846,0.7678771325021857,-0.004687135843535763,0.003463024715729895,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_SP500_Return_Aligned,-0.333425580333551,0.25711753562113654,-1.2967827321776084,0.1955434740680265,-0.8390809490756965,0.17222978840859443,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_VIX_Change_Aligned,-0.001824042734657802,0.002328970736612778,-0.7831969315813148,0.43403072431697587,-0.006404269259335142,0.0027561837900195374,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_Gold_Return_Aligned,-0.03715225619949034,0.15883758785239502,-0.23390090910984673,0.8151959793265328,-0.34952721289619415,0.2752227004972134,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_DXY_Return_Aligned,-0.5135560820111762,0.4175353662622822,-1.2299702576298097,0.21951815109014647,-1.3346941622288564,0.307581998206504,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-02,2024-07-31,365,Lagged_US10Y_Change_Aligned,-0.028753091890472208,0.023708349496122882,-1.212783365420453,0.22601456252431226,-0.0753786718135561,0.017872488032611693,Negative,,False,0.017951414030991653,-0.0013044405958515526,7
BTC,2023-08-09,2024-08-07,365,const,0.028727541338409355,0.048217589461866266,0.5957896622171259,0.5516932761242233,-0.06609867469659325,0.12355375737341195,Positive,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,BTC_Lagged_Return,-0.0374644471064525,0.06565219116718682,-0.5706503688665513,0.5685956677944934,-0.16657809489082656,0.09164920067792157,Negative,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_Log_BTC_Volume,-0.001133748018507465,0.002035262556247986,-0.5570524623602047,0.5778406452037939,-0.005136358870701925,0.002868862833686995,Negative,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_SP500_Return_Aligned,-0.019205644136107924,0.30544184956684545,-0.06287823414945895,0.9498986567716348,-0.6198971166134507,0.5814858283412349,Negative,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_VIX_Change_Aligned,-0.0001929172679479347,0.001504003680767541,-0.12826914615626664,0.8980082072951694,-0.0031507378380263014,0.002764903302130432,Negative,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_Gold_Return_Aligned,0.030655320837032533,0.16022691230665773,0.19132441857433677,0.8483801964620943,-0.28445192468441266,0.34576256635847774,Positive,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_DXY_Return_Aligned,-0.15465069371339696,0.5082101255503476,-0.3043046290073887,0.7610731194284256,-1.1541125849953382,0.8448111975685444,Negative,,False,0.004406326032835195,-0.015115118554756224,7
BTC,2023-08-09,2024-08-07,365,Lagged_US10Y_Change_Aligned,-0.012175200439065486,0.028227168166650413,-0.43132914953367996,0.666489400447928,-0.06768763016647932,0.043337229288348336,Negative,,False,0.004406326032835195,-0.015115118554756224,7
